"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Frecuencia,"Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Finalización,Impresiones,"CPM (costo por mil impresiones) (COP)","Clics en el enlace",shop_clicks,"CPC (costo por clic en el enlace) (COP)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","CPC (todos) (COP)","Visitas a la página de destino","Costo por visita a la página de destino (COP)"
2026-05-04,2026-05-04,"KIT-DE-LIMPIEZA-PARA-BIBERONES - 26-04-2026",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,actions:offsite_conversion.fb_pixel_purchase,5469,1.150119,13102,60000,Diario,39306,"En curso",6290,6248.966614,93,,422.645161,1.478537,128,2.034976,307.078125,76,517.184211
2026-05-04,2026-05-04,"Limpiador Eléctrico Biberones — 21 ABR",inactive,"7 días tras clic",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,"KIT DE LIMPIEZA PARA BIBERONES",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,40000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,"Armadura Dental - Sensibilidad",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,"Armadura Dental",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,"Malla de seguridad para auto",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,30000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,CleanDriver,inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,Prosmin,inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,"Quitaoxido Addio 1 Litro",inactive,"7 días tras clic o 1 día tras visualización",,,0,0,,20000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-04,2026-05-04,"BASE EN BARRA 2 EN 1",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-03,2026-05-03,"KIT-DE-LIMPIEZA-PARA-BIBERONES - 26-04-2026",active,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,actions:offsite_conversion.fb_pixel_purchase,7021,1.342686,11952.2,60000,Diario,59761,"En curso",9427,6339.344436,142,,420.852113,1.506312,208,2.206428,287.3125,113,528.858407
2026-05-03,2026-05-03,"Limpiador Eléctrico Biberones — 21 ABR",inactive,"7 días tras clic",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-03,2026-05-03,"KIT DE LIMPIEZA PARA BIBERONES",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,40000,Diario,0,"En curso",0,0,,,,,0,0,0,,
2026-05-03,2026-05-03,"Armadura Dental - Sensibilidad",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,60000,Diario,0,"En curso",0,0,,,,,0,0,0,,
